2025-06-05 15:03:29,593 - INFO - \U0001f4c4 Extracting skills from resume
2025-06-05 15:03:29,595 - INFO - \u2705 Skills extracted: {'Aws': 3, 'Docker': 1, 'React': 2, 'Angular': 2, 'Node.js': 3, 'Mysql': 1, 'Mongodb': 2, 'Git': 1, 'Jenkins': 2, 'Linux': 1, 'Graphql': 2, 'Typescript': 1, 'Sql': 1, 'Ci/cd': 2, 'Javascript': 2}
2025-06-05 15:03:29,595 - INFO - \U0001f50d Scraping jobs from LinkedIn and Companies
2025-06-05 15:03:47,113 - ERROR - Error scraping LinkedIn (MERN, Remote): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2025-06-05 15:03:47,173 - ERROR - Error scraping LinkedIn (SDE, Hyderabad): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2025-06-05 15:03:47,174 - ERROR - Error scraping LinkedIn (MERN, Pune): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2025-06-05 15:03:47,301 - ERROR - Error scraping LinkedIn (Backend Engineer, Hyderabad): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2025-06-05 15:03:47,319 - ERROR - Error scraping LinkedIn (SDE, Remote): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2025-06-05 15:03:47,326 - ERROR - Error scraping LinkedIn (MERN, Hyderabad): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2025-06-05 15:03:47,371 - ERROR - Error scraping LinkedIn (Backend Engineer, Remote): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2025-06-05 15:03:47,443 - ERROR - Error scraping LinkedIn (SDE, Pune): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2025-06-05 15:03:51,325 - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000167D2387F90>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /session/cbcea96ce0f5c3be3a2acf19dcf2308b
2025-06-05 15:03:51,465 - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000167D23948D0>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /session/c4250fc3b93db6d3080262ca6c6b841a
2025-06-05 15:03:51,480 - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000167D2377490>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /session/959c9487e46674e7fcf7795c27c07547
2025-06-05 15:03:51,782 - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000167D237E410>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /session/f7c5d9c4922ef6ca18df48180ecb3490
2025-06-05 15:03:51,783 - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000167D2386E10>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /session/bcda25f1ebd878c15bede2d849782c73
2025-06-05 15:03:51,784 - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000167D23841D0>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /session/9da398049d3a8ea1e9fd09661eeba109
2025-06-05 15:03:51,784 - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000167D2395C50>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /session/c8e2af39f3bd6bf10aa778c4308ecfa8
2025-06-05 15:03:51,784 - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000167D2395290>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /session/c4777624ea2588f01b228d0f60d860e1
2025-06-05 15:03:55,380 - WARNING - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000167D237C610>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /session/cbcea96ce0f5c3be3a2acf19dcf2308b
2025-06-05 15:03:55,515 - WARNING - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000167D2394050>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /session/959c9487e46674e7fcf7795c27c07547
2025-06-05 15:03:55,515 - WARNING - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000167D23954D0>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /session/c4250fc3b93db6d3080262ca6c6b841a
